Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Dep_Time_Cat,Arrival_Time_Cat,Datetime_Dep,Datetime_Arrival
Air India,Chennai,Kolkata,MAA → CCU,8100,0,No info,4667,morning,afternoon,2019-03-05 11:40:00,2019-03-05 13:55:00
Air India,Kolkata,Banglore,CCU → HYD → BLR,57900,1,No info,6117,evening,morning,2019-05-15 19:00:00,2019-05-15 11:05:00
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,71700,2,In-flight meal not included,11150,evening,evening,2019-06-27 23:05:00,2019-06-27 19:00:00
Jet Airways,Delhi,Cochin,DEL → COK,11700,0,In-flight meal not included,7202,morning,afternoon,2019-09-03 11:00:00,2019-09-03 14:15:00
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,91200,1,No info,12121,morning,morning,2019-01-05 09:35:00,2019-01-05 10:55:00
IndiGo,Banglore,New Delhi,BLR → DEL,10200,0,No info,4377,evening,mid_night,2019-03-24 22:20:00,2019-03-24 01:10:00
IndiGo,Banglore,Delhi,BLR → DEL,10800,0,No info,3943,evening,mid_night,2019-06-18 21:15:00,2019-06-18 00:15:00
Air Asia,Banglore,Delhi,BLR → DEL,10200,0,No info,4483,evening,mid_night,2019-03-04 23:55:00,2019-03-04 02:45:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,58500,1,No info,14231,evening,afternoon,2019-03-24 19:45:00,2019-03-24 12:00:00
Air India,Banglore,New Delhi,BLR → BOM → AMD → DEL,54300,2,No info,17345,morning,evening,2019-01-03 08:50:00,2019-01-03 23:55:00
Vistara,Chennai,Kolkata,MAA → CCU,8100,0,No info,7414,morning,morning,2019-06-03 07:05:00,2019-06-03 09:20:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,23400,1,No info,8073,evening,mid_night,2019-06-05 19:00:00,2019-06-05 01:30:00
Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,90300,1,No info,12395,afternoon,afternoon,2019-06-03 15:40:00,2019-06-03 16:45:00
Air India,Kolkata,Banglore,CCU → BOM → BLR,44700,1,No info,8366,morning,evening,2019-06-06 09:25:00,2019-06-06 21:50:00
Air India,Delhi,Cochin,DEL → MAA → COK,98400,1,No info,5117,morning,morning,2019-03-04 06:05:00,2019-03-04 09:25:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,36900,1,No info,12524,morning,evening,2019-03-06 08:45:00,2019-03-06 19:00:00
IndiGo,Delhi,Cochin,DEL → BOM → COK,37800,1,No info,7191,afternoon,mid_night,2019-05-15 15:00:00,2019-05-15 01:30:00
Vistara,Chennai,Kolkata,MAA → CCU,8100,0,No info,3687,morning,morning,2019-05-24 07:05:00,2019-05-24 09:20:00
IndiGo,Delhi,Cochin,DEL → BOM → COK,37500,1,No info,5894,morning,evening,2019-06-24 10:35:00,2019-06-24 21:00:00
Vistara,Banglore,Delhi,BLR → DEL,10200,0,No info,5403,morning,afternoon,2019-04-24 09:45:00,2019-04-24 12:35:00
Air India,Mumbai,Hyderabad,BOM → HYD,5400,0,No info,3625,afternoon,afternoon,2019-06-05 13:55:00,2019-06-05 15:25:00
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,48000,2,No info,10861,mid_night,evening,2019-05-21 05:55:00,2019-05-21 19:15:00
IndiGo,Chennai,Kolkata,MAA → CCU,8100,0,No info,6297,afternoon,afternoon,2019-12-03 13:20:00,2019-12-03 15:35:00
Jet Airways,Mumbai,Hyderabad,BOM → HYD,5100,0,No info,5678,morning,morning,2019-01-06 07:05:00,2019-01-06 08:30:00
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,95400,1,In-flight meal not included,9134,mid_night,morning,2019-09-03 05:45:00,2019-09-03 08:15:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,26400,1,In-flight meal not included,10791,morning,evening,2019-06-24 11:40:00,2019-06-24 19:00:00
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,48600,2,No info,12819,evening,afternoon,2019-06-24 23:05:00,2019-06-24 12:35:00
IndiGo,Delhi,Cochin,DEL → BLR → COK,18000,1,No info,6893,mid_night,morning,2019-03-21 05:05:00,2019-03-21 10:05:00
Vistara,Banglore,New Delhi,BLR → DEL,9900,0,No info,7240,morning,afternoon,2019-09-03 09:50:00,2019-09-03 12:35:00
GoAir,Banglore,Delhi,BLR → DEL,10200,0,No info,3898,morning,afternoon,2019-03-04 11:40:00,2019-03-04 14:30:00
IndiGo,Mumbai,Hyderabad,BOM → HYD,5400,0,No info,4049,morning,morning,2019-03-04 06:25:00,2019-03-04 07:55:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,68700,1,In-flight meal not included,10262,afternoon,afternoon,2019-06-15 17:30:00,2019-06-15 12:35:00
SpiceJet,Chennai,Kolkata,MAA → CCU,8100,0,No check-in baggage included,3332,morning,morning,2019-03-21 08:20:00,2019-03-21 10:35:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,53400,1,In-flight meal not included,10844,evening,afternoon,2019-09-06 21:10:00,2019-09-06 12:00:00
Jet Airways,Banglore,New Delhi,BLR → DEL,9600,0,No info,7229,evening,evening,2019-03-24 19:55:00,2019-03-24 22:35:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,79800,1,No info,13941,morning,mid_night,2019-06-05 06:30:00,2019-06-05 04:40:00
IndiGo,Delhi,Cochin,DEL → BOM → COK,34500,1,No info,5894,morning,evening,2019-06-27 11:25:00,2019-06-27 21:00:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,36000,1,No info,10197,morning,evening,2019-05-18 09:00:00,2019-05-18 19:00:00
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,76800,1,In-flight meal not included,13712,afternoon,morning,2019-06-03 14:05:00,2019-06-03 11:25:00
IndiGo,Delhi,Cochin,DEL → MAA → COK,19500,1,No info,5636,mid_night,morning,2019-06-24 02:00:00,2019-06-24 07:25:00
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,67500,2,No info,13014,morning,mid_night,2019-06-06 09:40:00,2019-06-06 04:25:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,44400,1,In-flight meal not included,7064,morning,evening,2019-01-04 08:25:00,2019-01-04 20:45:00
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,64800,1,In-flight meal not included,10703,evening,afternoon,2019-05-24 20:25:00,2019-05-24 14:25:00
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,33300,1,No info,9646,afternoon,evening,2019-05-27 13:15:00,2019-05-27 22:30:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,39900,1,No info,17057,mid_night,afternoon,2019-06-03 02:15:00,2019-06-03 13:20:00
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,63000,1,No info,13817,afternoon,morning,2019-12-03 16:55:00,2019-12-03 10:25:00
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,48000,2,No info,13748,mid_night,evening,2019-06-03 05:55:00,2019-06-03 19:15:00
Air India,Kolkata,Banglore,CCU → BLR,9300,0,No info,4880,evening,evening,2019-04-21 20:45:00,2019-04-21 23:20:00
IndiGo,Chennai,Kolkata,MAA → CCU,8700,0,No info,3540,mid_night,morning,2019-06-21 05:15:00,2019-06-21 07:40:00
SpiceJet,Banglore,Delhi,BLR → DEL,9600,0,No check-in baggage included,3257,mid_night,morning,2019-05-15 05:55:00,2019-05-15 08:35:00
Jet Airways,Banglore,Delhi,BLR → DEL,10800,0,In-flight meal not included,6478,evening,evening,2019-03-06 19:50:00,2019-03-06 22:50:00
Jet Airways,Mumbai,Hyderabad,BOM → HYD,5100,0,No info,8040,morning,morning,2019-06-18 07:05:00,2019-06-18 08:30:00
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,59700,2,No info,14300,evening,afternoon,2019-12-06 20:00:00,2019-12-06 12:35:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,44400,1,No info,14781,morning,evening,2019-05-15 08:25:00,2019-05-15 20:45:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,44100,1,No info,14939,evening,morning,2019-09-06 20:00:00,2019-09-06 08:15:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,27000,1,In-flight meal not included,10262,evening,mid_night,2019-06-24 20:55:00,2019-06-24 04:25:00
Air India,Kolkata,Banglore,CCU → MAA → BLR,86400,1,No info,6528,afternoon,afternoon,2019-12-05 14:35:00,2019-12-05 14:35:00
Air India,Banglore,Delhi,BLR → DEL,9900,0,No info,6121,morning,morning,2019-01-05 06:10:00,2019-01-05 08:55:00
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,32100,2,In-flight meal not included,13029,evening,mid_night,2019-05-18 19:30:00,2019-05-18 04:25:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,25800,1,No info,11421,morning,evening,2019-03-27 11:40:00,2019-03-27 18:50:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,52200,1,No info,7574,mid_night,evening,2019-03-27 04:45:00,2019-03-27 19:15:00
Air India,Delhi,Cochin,DEL → JDH → BOM → COK,109200,2,No info,11596,afternoon,evening,2019-09-05 12:55:00,2019-09-05 19:15:00
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,71700,2,No info,15129,evening,evening,2019-05-24 23:05:00,2019-05-24 19:00:00
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,54000,1,No info,13555,afternoon,mid_night,2019-03-18 14:05:00,2019-03-18 05:05:00
IndiGo,Banglore,Delhi,BLR → DEL,10500,0,No info,5780,evening,evening,2019-12-04 18:55:00,2019-12-04 21:50:00
Vistara,Kolkata,Banglore,CCU → DEL → BLR,45900,1,No info,9397,evening,morning,2019-12-05 20:20:00,2019-12-05 09:05:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,36600,1,No info,17024,evening,mid_night,2019-06-03 18:15:00,2019-06-03 04:25:00
GoAir,Delhi,Cochin,DEL → BOM → COK,21300,1,No info,5281,morning,afternoon,2019-06-27 07:00:00,2019-06-27 12:55:00
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,55500,1,No info,10348,morning,evening,2019-05-18 07:05:00,2019-05-18 22:30:00
Air India,Delhi,Cochin,DEL → MAA → COK,57900,1,No info,12677,afternoon,morning,2019-06-03 17:20:00,2019-06-03 09:25:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,36600,1,No info,15147,afternoon,mid_night,2019-03-03 15:25:00,2019-03-03 01:35:00
Vistara,Banglore,Delhi,BLR → DEL,9600,0,No info,4668,morning,morning,2019-12-06 07:00:00,2019-12-06 09:40:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,42900,1,No info,15554,morning,evening,2019-09-05 07:05:00,2019-09-05 19:00:00
SpiceJet,Banglore,Delhi,BLR → DEL,9600,0,No info,3971,mid_night,morning,2019-09-04 05:55:00,2019-09-04 08:35:00
Air India,Mumbai,Hyderabad,BOM → HYD,5100,0,No info,3100,afternoon,afternoon,2019-03-05 15:00:00,2019-03-05 16:25:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,50700,1,In-flight meal not included,9663,evening,morning,2019-06-05 20:00:00,2019-06-05 10:05:00
Air India,Delhi,Cochin,DEL → BOM → COK,72900,1,No info,27430,evening,evening,2019-01-03 23:00:00,2019-01-03 19:15:00
IndiGo,Chennai,Kolkata,MAA → CCU,8700,0,No info,3540,mid_night,morning,2019-12-05 05:15:00,2019-12-05 07:40:00
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,83400,2,No info,10676,afternoon,morning,2019-05-21 12:00:00,2019-05-21 11:10:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,65400,1,No info,13044,afternoon,morning,2019-12-06 14:05:00,2019-12-06 08:15:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,57600,1,No info,14388,evening,afternoon,2019-06-05 20:00:00,2019-06-05 12:00:00
IndiGo,Banglore,Delhi,BLR → DEL,10200,0,No info,3943,mid_night,morning,2019-06-24 04:00:00,2019-06-24 06:50:00
IndiGo,Chennai,Kolkata,MAA → CCU,8400,0,No info,3597,afternoon,afternoon,2019-03-06 14:45:00,2019-03-06 17:05:00
Air India,Banglore,New Delhi,BLR → MAA → DEL,28800,1,No info,5932,morning,evening,2019-03-21 11:50:00,2019-03-21 19:50:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,60900,1,In-flight meal not included,10262,morning,mid_night,2019-06-15 11:30:00,2019-06-15 04:25:00
Vistara,Delhi,Cochin,DEL → COK,11400,0,No info,6216,afternoon,afternoon,2019-12-05 14:40:00,2019-12-05 17:50:00
IndiGo,Kolkata,Banglore,CCU → BLR,9900,0,No info,4804,evening,evening,2019-06-15 20:25:00,2019-06-15 23:10:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,50400,1,No info,14067,morning,mid_night,2019-05-21 11:30:00,2019-05-21 01:30:00
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,85800,2,No info,15129,evening,evening,2019-05-18 19:10:00,2019-05-18 19:00:00
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,78000,2,No info,13376,morning,mid_night,2019-06-06 06:45:00,2019-06-06 04:25:00
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,76500,2,No info,10441,evening,evening,2019-06-27 22:00:00,2019-06-27 19:15:00
Jet Airways,Banglore,Delhi,BLR → DEL,9900,0,In-flight meal not included,4030,morning,morning,2019-05-24 06:00:00,2019-05-24 08:45:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,39000,1,No info,17024,morning,evening,2019-03-03 08:00:00,2019-03-03 18:50:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,28800,1,No info,13017,afternoon,mid_night,2019-09-04 17:30:00,2019-09-04 01:30:00
GoAir,Kolkata,Banglore,CCU → BOM → BLR,29700,1,No info,6686,evening,morning,2019-06-06 23:30:00,2019-06-06 07:45:00
IndiGo,Delhi,Cochin,DEL → MAA → COK,19500,1,No info,5636,mid_night,morning,2019-06-15 02:00:00,2019-06-15 07:25:00
IndiGo,Delhi,Cochin,DEL → HYD → COK,30900,1,No info,6442,morning,afternoon,2019-09-06 07:35:00,2019-09-06 16:10:00
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,42600,1,No info,9486,afternoon,mid_night,2019-05-21 13:05:00,2019-05-21 00:55:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,99300,1,In-flight meal not included,10844,evening,evening,2019-05-21 20:00:00,2019-05-21 23:35:00
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,30300,2,In-flight meal not included,15318,evening,mid_night,2019-03-06 20:00:00,2019-03-06 04:25:00
Air India,Delhi,Cochin,DEL → MAA → COK,75300,1,No info,5117,afternoon,morning,2019-03-04 12:30:00,2019-03-04 09:25:00
IndiGo,Delhi,Cochin,DEL → BLR → COK,17400,1,No info,6147,afternoon,evening,2019-06-24 15:10:00,2019-06-24 20:00:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,29400,1,No info,7005,afternoon,evening,2019-09-06 12:50:00,2019-09-06 21:00:00
SpiceJet,Kolkata,Banglore,CCU → BLR,8400,0,No info,3873,evening,mid_night,2019-03-04 22:20:00,2019-03-04 00:40:00
Jet Airways,Delhi,Cochin,DEL → BDQ → BOM → COK,87900,2,In-flight meal not included,9270,evening,evening,2019-03-21 18:25:00,2019-03-21 18:50:00
GoAir,Banglore,Delhi,BLR → DEL,10200,0,No info,3898,morning,afternoon,2019-06-27 11:40:00,2019-06-27 14:30:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,44400,1,No info,14781,morning,evening,2019-12-05 08:25:00,2019-12-05 20:45:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,44100,1,In-flight meal not included,8586,evening,morning,2019-05-24 20:00:00,2019-05-24 08:15:00
Air India,Kolkata,Banglore,CCU → JAI → BOM → BLR,84900,2,No info,10697,morning,morning,2019-09-05 08:20:00,2019-09-05 07:55:00
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,59700,2,No info,14300,evening,afternoon,2019-06-27 20:00:00,2019-06-27 12:35:00
IndiGo,Banglore,New Delhi,BLR → DEL,10200,0,No info,8855,evening,evening,2019-03-03 18:55:00,2019-03-03 21:45:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,92700,1,In-flight meal not included,10844,afternoon,evening,2019-12-05 16:30:00,2019-12-05 18:15:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,94200,1,No info,17024,mid_night,mid_night,2019-06-03 02:15:00,2019-06-03 04:25:00
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,103800,1,In-flight meal not included,9314,morning,afternoon,2019-01-05 09:35:00,2019-01-05 14:25:00
IndiGo,Banglore,New Delhi,BLR → DEL,9900,0,No info,4777,mid_night,mid_night,2019-03-24 00:40:00,2019-03-24 03:25:00
Air India,Kolkata,Banglore,CCU → BBI → BLR,90900,1,No info,7662,afternoon,afternoon,2019-09-06 12:00:00,2019-09-06 13:15:00
IndiGo,Delhi,Cochin,DEL → HYD → COK,33600,1,No info,6442,morning,afternoon,2019-09-05 06:50:00,2019-09-05 16:10:00
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,16200,1,No info,5264,morning,afternoon,2019-12-06 08:45:00,2019-12-06 13:15:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,55500,1,In-flight meal not included,12898,afternoon,mid_night,2019-05-27 13:00:00,2019-05-27 04:25:00
Air India,Mumbai,Hyderabad,BOM → HYD,5400,0,No info,6092,afternoon,afternoon,2019-03-03 13:55:00,2019-03-03 15:25:00
SpiceJet,Banglore,Delhi,BLR → DEL,9600,0,No info,3311,mid_night,morning,2019-05-21 05:55:00,2019-05-21 08:35:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,33000,1,In-flight meal not included,6540,evening,mid_night,2019-03-27 19:15:00,2019-03-27 04:25:00
IndiGo,Banglore,Delhi,BLR → DEL,9900,0,No info,3419,mid_night,mid_night,2019-05-27 01:30:00,2019-05-27 04:15:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,81300,1,In-flight meal not included,5177,afternoon,afternoon,2019-03-04 14:00:00,2019-03-04 12:35:00
Air India,Delhi,Cochin,DEL → COK,11100,0,No info,8246,evening,evening,2019-04-18 18:05:00,2019-04-18 21:10:00
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,41400,1,No info,14676,morning,evening,2019-09-06 09:35:00,2019-09-06 21:05:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,34200,1,No info,13587,morning,evening,2019-06-27 11:30:00,2019-06-27 21:00:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,43800,1,In-flight meal not included,9663,evening,morning,2019-06-05 21:10:00,2019-06-05 09:20:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,63300,1,No info,13044,afternoon,morning,2019-12-06 16:30:00,2019-12-06 10:05:00
IndiGo,Delhi,Cochin,DEL → BOM → COK,18300,1,No info,5073,evening,mid_night,2019-03-04 20:25:00,2019-03-04 01:30:00
Vistara,Kolkata,Banglore,CCU → DEL → BLR,93000,1,No info,9345,afternoon,evening,2019-05-21 17:00:00,2019-05-21 18:50:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,72000,1,In-flight meal not included,9663,afternoon,morning,2019-06-05 14:05:00,2019-06-05 10:05:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,46800,1,No info,14277,morning,evening,2019-05-21 08:00:00,2019-05-21 21:00:00
Jet Airways,Delhi,Cochin,DEL → BOM → COK,66300,1,In-flight meal not included,10262,morning,mid_night,2019-01-06 10:00:00,2019-01-06 04:25:00
Jet Airways,Mumbai,Hyderabad,BOM → HYD,5400,0,No info,5678,evening,evening,2019-03-27 19:35:00,2019-03-27 21:05:00
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,34200,1,No info,13727,afternoon,mid_night,2019-05-15 16:00:00,2019-05-15 01:30:00
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,57600,1,In-flight meal not included,9663,evening,afternoon,2019-06-05 20:00:00,2019-06-05 12:00:00
IndiGo,Chennai,Kolkata,MAA → CCU,8400,0,No info,3858,afternoon,afternoon,2019-12-05 14:45:00,2019-12-05 17:05:00
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,16200,1,No info,4812,morning,afternoon,2019-06-24 08:45:00,2019-06-24 13:15:00
IndiGo,Delhi,Cochin,DEL → LKO → COK,20700,1,No info,5775,evening,mid_night,2019-06-27 21:50:00,2019-06-27 03:35:00
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,87000,1,In-flight meal not included,10539,morning,morning,2019-06-06 09:35:00,2019-06-06 09:45:00
