airline,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price,month,day
IndiGo,Delhi,Cochin,mid_night,morning,18000,1,No info,6893,3,21
Vistara,Banglore,New Delhi,morning,afternoon,9900,0,No info,7240,3,9
GoAir,Banglore,Delhi,morning,afternoon,10200,0,No info,3898,4,3
IndiGo,Mumbai,Hyderabad,morning,morning,5400,0,No info,4049,4,3
Jet Airways,Delhi,Cochin,afternoon,afternoon,68700,1,In-flight meal not included,10262,6,15
SpiceJet,Chennai,Kolkata,morning,morning,8100,0,No check-in baggage included,3332,3,21
Jet Airways,Kolkata,Banglore,evening,afternoon,53400,1,In-flight meal not included,10844,6,9
Jet Airways,Banglore,New Delhi,evening,evening,9600,0,No info,7229,3,24
Jet Airways,Kolkata,Banglore,morning,mid_night,79800,1,No info,13941,5,6
IndiGo,Delhi,Cochin,morning,evening,34500,1,No info,5894,6,27
Multiple carriers,Delhi,Cochin,morning,evening,36000,1,No info,10197,5,18
Jet Airways,Banglore,New Delhi,afternoon,morning,76800,1,In-flight meal not included,13712,3,6
IndiGo,Delhi,Cochin,mid_night,morning,19500,1,No info,5636,6,24
Jet Airways,Delhi,Cochin,morning,mid_night,67500,2,No info,13014,6,6
Jet Airways,Kolkata,Banglore,morning,evening,44400,1,In-flight meal not included,7064,4,1
Jet Airways,Kolkata,Banglore,evening,afternoon,64800,1,In-flight meal not included,10703,5,24
Multiple carriers,Delhi,Cochin,afternoon,evening,33300,1,No info,9646,5,27
Multiple carriers,Delhi,Cochin,mid_night,afternoon,39900,1,No info,17057,3,6
Jet Airways,Banglore,New Delhi,afternoon,morning,63000,1,No info,13817,3,12
Air India,Delhi,Cochin,mid_night,evening,48000,2,No info,13748,3,6
Air India,Kolkata,Banglore,evening,evening,9300,0,No info,4880,4,21
IndiGo,Chennai,Kolkata,mid_night,morning,8700,0,No info,3540,6,21
SpiceJet,Banglore,Delhi,mid_night,morning,9600,0,No check-in baggage included,3257,5,15
Jet Airways,Banglore,Delhi,evening,evening,10800,0,In-flight meal not included,6478,6,3
Jet Airways,Mumbai,Hyderabad,morning,morning,5100,0,No info,8040,6,18
Jet Airways,Delhi,Cochin,evening,afternoon,59700,2,No info,14300,6,12
Jet Airways,Kolkata,Banglore,morning,evening,44400,1,No info,14781,5,15
Jet Airways,Kolkata,Banglore,evening,morning,44100,1,No info,14939,6,9
Jet Airways,Delhi,Cochin,evening,mid_night,27000,1,In-flight meal not included,10262,6,24
Air India,Kolkata,Banglore,afternoon,afternoon,86400,1,No info,6528,5,12
Air India,Banglore,Delhi,morning,morning,9900,0,No info,6121,5,1
Jet Airways,Delhi,Cochin,evening,mid_night,32100,2,In-flight meal not included,13029,5,18
Multiple carriers,Delhi,Cochin,morning,evening,25800,1,No info,11421,3,27
Multiple carriers,Delhi,Cochin,mid_night,evening,52200,1,No info,7574,3,27
Air India,Delhi,Cochin,afternoon,evening,109200,2,No info,11596,5,9
Jet Airways,Delhi,Cochin,evening,evening,71700,2,No info,15129,5,24
Jet Airways,Banglore,New Delhi,afternoon,mid_night,54000,1,No info,13555,3,18
IndiGo,Banglore,Delhi,evening,evening,10500,0,No info,5780,4,12
Vistara,Kolkata,Banglore,evening,morning,45900,1,No info,9397,5,12
Jet Airways,Delhi,Cochin,evening,mid_night,36600,1,No info,17024,3,6
GoAir,Delhi,Cochin,morning,afternoon,21300,1,No info,5281,6,27
Multiple carriers,Delhi,Cochin,morning,evening,55500,1,No info,10348,5,18
Air India,Delhi,Cochin,afternoon,morning,57900,1,No info,12677,3,6
Multiple carriers,Delhi,Cochin,afternoon,mid_night,36600,1,No info,15147,3,3
Vistara,Banglore,Delhi,morning,morning,9600,0,No info,4668,6,12
Jet Airways,Delhi,Cochin,morning,evening,42900,1,No info,15554,5,9
SpiceJet,Banglore,Delhi,mid_night,morning,9600,0,No info,3971,4,9
Air India,Mumbai,Hyderabad,afternoon,afternoon,5100,0,No info,3100,5,3
Jet Airways,Kolkata,Banglore,evening,morning,50700,1,In-flight meal not included,9663,5,6
Air India,Delhi,Cochin,evening,evening,72900,1,No info,27430,3,1
IndiGo,Chennai,Kolkata,mid_night,morning,8700,0,No info,3540,5,12
Air India,Kolkata,Banglore,afternoon,morning,83400,2,No info,10676,5,21
Jet Airways,Kolkata,Banglore,afternoon,morning,65400,1,No info,13044,6,12
Jet Airways,Kolkata,Banglore,evening,afternoon,57600,1,No info,14388,5,6
IndiGo,Banglore,Delhi,mid_night,morning,10200,0,No info,3943,6,24
IndiGo,Chennai,Kolkata,afternoon,afternoon,8400,0,No info,3597,6,3
Air India,Banglore,New Delhi,morning,evening,28800,1,No info,5932,3,21
Jet Airways,Delhi,Cochin,morning,mid_night,60900,1,In-flight meal not included,10262,6,15
Vistara,Delhi,Cochin,afternoon,afternoon,11400,0,No info,6216,5,12
IndiGo,Kolkata,Banglore,evening,evening,9900,0,No info,4804,6,15
Multiple carriers,Delhi,Cochin,morning,mid_night,50400,1,No info,14067,5,21
Jet Airways,Delhi,Cochin,evening,evening,85800,2,No info,15129,5,18
Jet Airways,Delhi,Cochin,morning,mid_night,78000,2,No info,13376,6,6
Air India,Delhi,Cochin,evening,evening,76500,2,No info,10441,6,27
Jet Airways,Banglore,Delhi,morning,morning,9900,0,In-flight meal not included,4030,5,24
Jet Airways,Delhi,Cochin,morning,evening,39000,1,No info,17024,3,3
Multiple carriers,Delhi,Cochin,afternoon,mid_night,28800,1,No info,13017,4,9
GoAir,Kolkata,Banglore,evening,morning,29700,1,No info,6686,6,6
IndiGo,Delhi,Cochin,mid_night,morning,19500,1,No info,5636,6,15
IndiGo,Delhi,Cochin,morning,afternoon,30900,1,No info,6442,6,9
Multiple carriers,Delhi,Cochin,afternoon,mid_night,42600,1,No info,9486,5,21
Jet Airways,Kolkata,Banglore,evening,evening,99300,1,In-flight meal not included,10844,5,21
Jet Airways,Delhi,Cochin,evening,mid_night,30300,2,In-flight meal not included,15318,6,3
Air India,Delhi,Cochin,afternoon,morning,75300,1,No info,5117,4,3
IndiGo,Delhi,Cochin,afternoon,evening,17400,1,No info,6147,6,24
Multiple carriers,Delhi,Cochin,afternoon,evening,29400,1,No info,7005,6,9
SpiceJet,Kolkata,Banglore,evening,mid_night,8400,0,No info,3873,4,3
Jet Airways,Delhi,Cochin,evening,evening,87900,2,In-flight meal not included,9270,3,21
GoAir,Banglore,Delhi,morning,afternoon,10200,0,No info,3898,6,27
Jet Airways,Kolkata,Banglore,morning,evening,44400,1,No info,14781,5,12
Jet Airways,Kolkata,Banglore,evening,morning,44100,1,In-flight meal not included,8586,5,24
Air India,Kolkata,Banglore,morning,morning,84900,2,No info,10697,5,9
Jet Airways,Delhi,Cochin,evening,afternoon,59700,2,No info,14300,6,27
IndiGo,Banglore,New Delhi,evening,evening,10200,0,No info,8855,3,3
Jet Airways,Kolkata,Banglore,afternoon,evening,92700,1,In-flight meal not included,10844,5,12
Jet Airways,Delhi,Cochin,mid_night,mid_night,94200,1,No info,17024,3,6
Jet Airways,Kolkata,Banglore,morning,afternoon,103800,1,In-flight meal not included,9314,5,1
IndiGo,Banglore,New Delhi,mid_night,mid_night,9900,0,No info,4777,3,24
Air India,Kolkata,Banglore,afternoon,afternoon,90900,1,No info,7662,6,9
IndiGo,Delhi,Cochin,morning,afternoon,33600,1,No info,6442,5,9
SpiceJet,Delhi,Cochin,morning,afternoon,16200,1,No info,5264,6,12
Jet Airways,Delhi,Cochin,afternoon,mid_night,55500,1,In-flight meal not included,12898,5,27
Air India,Mumbai,Hyderabad,afternoon,afternoon,5400,0,No info,6092,3,3
SpiceJet,Banglore,Delhi,mid_night,morning,9600,0,No info,3311,5,21
Jet Airways,Delhi,Cochin,evening,mid_night,33000,1,In-flight meal not included,6540,3,27
IndiGo,Banglore,Delhi,mid_night,mid_night,9900,0,No info,3419,5,27
Jet Airways,Delhi,Cochin,afternoon,afternoon,81300,1,In-flight meal not included,5177,4,3
Air India,Delhi,Cochin,evening,evening,11100,0,No info,8246,4,18
Jet Airways,Kolkata,Banglore,morning,evening,41400,1,No info,14676,6,9
Multiple carriers,Delhi,Cochin,morning,evening,34200,1,No info,13587,6,27
Jet Airways,Kolkata,Banglore,evening,morning,43800,1,In-flight meal not included,9663,5,6
Jet Airways,Kolkata,Banglore,afternoon,morning,63300,1,No info,13044,6,12
IndiGo,Delhi,Cochin,evening,mid_night,18300,1,No info,5073,4,3
Vistara,Kolkata,Banglore,afternoon,evening,93000,1,No info,9345,5,21
Jet Airways,Kolkata,Banglore,afternoon,morning,72000,1,In-flight meal not included,9663,5,6
Multiple carriers,Delhi,Cochin,morning,evening,46800,1,No info,14277,5,21
Jet Airways,Delhi,Cochin,morning,mid_night,66300,1,In-flight meal not included,10262,6,1
Jet Airways,Mumbai,Hyderabad,evening,evening,5400,0,No info,5678,3,27
Multiple carriers,Delhi,Cochin,afternoon,mid_night,34200,1,No info,13727,5,15
Jet Airways,Kolkata,Banglore,evening,afternoon,57600,1,In-flight meal not included,9663,5,6
IndiGo,Chennai,Kolkata,afternoon,afternoon,8400,0,No info,3858,5,12
SpiceJet,Delhi,Cochin,morning,afternoon,16200,1,No info,4812,6,24
IndiGo,Delhi,Cochin,evening,mid_night,20700,1,No info,5775,6,27
Jet Airways,Kolkata,Banglore,morning,morning,87000,1,In-flight meal not included,10539,6,6
IndiGo,Kolkata,Banglore,afternoon,evening,9300,0,No info,4804,6,3
Air Asia,Banglore,Delhi,morning,afternoon,9900,0,No info,3383,6,12
IndiGo,Banglore,New Delhi,afternoon,afternoon,17700,1,No info,8738,3,3
Air India,Delhi,Cochin,mid_night,morning,92100,1,No info,7165,3,27
IndiGo,Delhi,Cochin,afternoon,evening,22800,1,No info,6412,6,24
Jet Airways,Banglore,Delhi,evening,evening,11100,0,No info,8016,6,27
Jet Airways,Banglore,New Delhi,evening,afternoon,67200,1,In-flight meal not included,11087,3,12
SpiceJet,Chennai,Kolkata,morning,afternoon,8100,0,No check-in baggage included,3543,6,27
Jet Airways,Kolkata,Banglore,afternoon,mid_night,43800,1,No info,12471,6,12
Jet Airways,Delhi,Cochin,morning,mid_night,69900,1,In-flight meal not included,10262,6,24
Air India,Banglore,New Delhi,afternoon,afternoon,10200,0,No info,4441,3,18
Multiple carriers,Delhi,Cochin,morning,afternoon,30300,1,No info,12537,3,27
GoAir,Kolkata,Banglore,evening,morning,33300,1,No info,10091,3,24
Air India,Banglore,Delhi,evening,evening,10200,0,No info,6961,6,3
IndiGo,Delhi,Cochin,mid_night,morning,11700,0,No info,5013,4,24
Air India,Delhi,Cochin,mid_night,morning,10200,0,No info,6934,5,18
Multiple carriers,Delhi,Cochin,morning,evening,44400,1,No info,10877,6,3
Jet Airways,Banglore,Delhi,afternoon,evening,10500,0,No info,7229,4,18
IndiGo,Delhi,Cochin,afternoon,mid_night,34500,1,No info,7048,3,27
Vistara,Banglore,Delhi,afternoon,evening,9300,0,No info,4878,6,27
Jet Airways,Kolkata,Banglore,afternoon,evening,34200,1,In-flight meal not included,10844,5,21
Jet Airways,Delhi,Cochin,evening,mid_night,105600,2,No info,15129,5,18
IndiGo,Banglore,Delhi,mid_night,mid_night,10500,0,No info,3943,5,12
SpiceJet,Delhi,Cochin,morning,morning,18900,1,No info,5583,6,6
Multiple carriers,Delhi,Cochin,morning,afternoon,32700,1,No info,9646,6,6
Multiple carriers,Delhi,Cochin,morning,evening,38700,1,No info,7677,6,3
IndiGo,Delhi,Cochin,mid_night,morning,17700,1,No info,6842,6,1
Jet Airways,Mumbai,Hyderabad,morning,morning,5400,0,In-flight meal not included,4995,6,24
Vistara,Kolkata,Banglore,morning,evening,42000,1,No info,9555,6,9
IndiGo,Banglore,Delhi,mid_night,mid_night,9900,0,No info,4077,6,1
Jet Airways,Banglore,Delhi,afternoon,evening,10500,0,No info,7229,5,12
Multiple carriers,Delhi,Cochin,morning,evening,36000,1,No info,12192,6,9
Air India,Banglore,Delhi,morning,afternoon,9900,0,No info,5911,4,12
Air India,Delhi,Cochin,morning,evening,36900,1,No info,8372,6,12
Jet Airways,Mumbai,Hyderabad,morning,morning,5100,0,In-flight meal not included,4995,3,18
Multiple carriers,Delhi,Cochin,morning,evening,33300,1,No info,14323,5,9
Jet Airways,Delhi,Cochin,mid_night,mid_night,82500,2,No info,13014,6,9
Air India,Delhi,Cochin,afternoon,evening,103800,2,No info,13591,6,6
Jet Airways,Delhi,Cochin,mid_night,evening,134700,2,No info,18799,3,3
IndiGo,Banglore,Delhi,evening,mid_night,10200,0,No info,3943,4,27
SpiceJet,Mumbai,Hyderabad,mid_night,morning,5400,0,No check-in baggage included,1965,5,21
Jet Airways,Mumbai,Hyderabad,morning,morning,5400,0,In-flight meal not included,4995,5,27
Air India,Kolkata,Banglore,afternoon,evening,92400,1,No info,14641,3,24
Air India,Kolkata,Banglore,evening,evening,9300,0,No info,4460,4,12
Air India,Delhi,Cochin,afternoon,evening,22500,1,No info,10191,5,18
Jet Airways,Delhi,Cochin,mid_night,evening,63000,1,In-flight meal not included,13843,3,9
IndiGo,Delhi,Cochin,evening,mid_night,20700,1,No info,6349,5,1
Air Asia,Kolkata,Banglore,morning,afternoon,9300,0,No info,4409,5,1
Jet Airways,Delhi,Cochin,evening,evening,91800,1,No info,17024,3,6
Multiple carriers,Delhi,Cochin,morning,evening,50100,1,No info,13727,5,18
IndiGo,Banglore,New Delhi,evening,evening,10500,0,No info,8855,3,15
Multiple carriers,Delhi,Cochin,morning,evening,36900,1,No info,12524,6,24
Jet Airways,Banglore,New Delhi,morning,evening,31200,1,No info,13555,3,18
Jet Airways,Kolkata,Banglore,morning,afternoon,19800,1,In-flight meal not included,10844,6,6
Multiple carriers,Delhi,Cochin,morning,evening,43200,1,No info,13587,6,9
SpiceJet,Chennai,Kolkata,morning,afternoon,8100,0,No check-in baggage included,3543,6,12
Vistara,Chennai,Kolkata,morning,morning,8100,0,No info,4842,3,18
IndiGo,Banglore,Delhi,evening,mid_night,10200,0,No info,3943,4,24
Jet Airways,Delhi,Cochin,evening,mid_night,33000,1,In-flight meal not included,10577,6,9
IndiGo,Delhi,Cochin,morning,evening,37500,1,No info,6979,5,15
Vistara,Chennai,Kolkata,afternoon,evening,8400,0,No info,11982,6,27
SpiceJet,Delhi,Cochin,morning,afternoon,16200,1,No info,5264,6,6
Vistara,Delhi,Cochin,morning,morning,11400,0,No info,8001,3,3
Air India,Delhi,Cochin,evening,evening,84600,2,No info,10651,6,1
Jet Airways,Kolkata,Banglore,afternoon,evening,98400,1,In-flight meal not included,10844,5,24
Multiple carriers,Delhi,Cochin,morning,evening,45300,1,No info,6601,3,27
Air India,Delhi,Cochin,evening,evening,87300,1,No info,6587,3,21
SpiceJet,Mumbai,Hyderabad,afternoon,afternoon,4800,0,No info,3173,3,21
Air India,Banglore,Delhi,morning,afternoon,9900,0,No info,5228,5,9
Jet Airways,Banglore,Delhi,morning,morning,10800,0,In-flight meal not included,5769,6,21
Jet Airways,Delhi,Cochin,morning,evening,39600,1,No info,14714,6,6
Jet Airways,Delhi,Cochin,mid_night,evening,48600,2,No info,13014,6,3
IndiGo,Banglore,Delhi,evening,mid_night,10200,0,No info,3359,6,3
GoAir,Banglore,New Delhi,evening,evening,10500,0,No info,6722,3,3
IndiGo,Kolkata,Banglore,morning,afternoon,9900,0,No info,4462,3,18
IndiGo,Delhi,Cochin,mid_night,afternoon,40500,1,No info,6171,3,9
Air India,Kolkata,Banglore,mid_night,evening,52500,2,No info,12303,5,21
Multiple carriers,Delhi,Cochin,morning,mid_night,50100,1,No info,7695,3,21
IndiGo,Delhi,Cochin,morning,mid_night,50700,1,No info,5684,6,24
Air India,Kolkata,Banglore,afternoon,morning,54300,1,No info,8366,6,12
Air India,Chennai,Kolkata,morning,afternoon,8100,0,No info,19630,3,1
Jet Airways,Banglore,New Delhi,afternoon,mid_night,54000,1,In-flight meal not included,13502,3,6
Jet Airways,Kolkata,Banglore,evening,morning,46500,1,No info,14781,5,1
Multiple carriers,Delhi,Cochin,morning,afternoon,32400,1,No info,6513,6,12
Air India,Delhi,Cochin,morning,evening,44100,1,No info,9929,6,1
Multiple carriers,Delhi,Cochin,afternoon,mid_night,27600,2,No info,18275,6,6
Air India,Delhi,Cochin,morning,morning,98400,1,No info,4487,4,9
IndiGo,Mumbai,Hyderabad,evening,evening,5100,0,No info,2754,3,15
Air India,Mumbai,Hyderabad,morning,morning,4800,0,No info,2575,3,27
SpiceJet,Kolkata,Banglore,afternoon,evening,19800,1,No info,8224,6,12
Air India,Delhi,Cochin,evening,morning,42300,1,No info,8991,3,9
IndiGo,Delhi,Cochin,mid_night,morning,11700,0,No info,5000,6,24
Jet Airways,Kolkata,Banglore,evening,evening,89700,1,In-flight meal not included,8529,6,12
Air India,Delhi,Cochin,morning,morning,98400,1,No info,14042,3,3
Jet Airways,Banglore,Delhi,morning,afternoon,10500,0,In-flight meal not included,4030,5,24
Jet Airways,Kolkata,Banglore,evening,afternoon,61500,1,In-flight meal not included,10844,6,6
IndiGo,Kolkata,Banglore,evening,mid_night,9600,0,No info,4804,5,6
Multiple carriers,Delhi,Cochin,afternoon,mid_night,28800,1,In-flight meal not included,7308,5,27
IndiGo,Banglore,Delhi,afternoon,evening,10800,0,No info,4823,5,12
Jet Airways,Delhi,Cochin,morning,afternoon,99300,1,In-flight meal not included,10262,6,24
Jet Airways,Delhi,Cochin,evening,mid_night,27000,1,In-flight meal not included,12898,5,27
Air India,Banglore,New Delhi,afternoon,afternoon,82500,2,No info,12778,3,12
IndiGo,Delhi,Cochin,mid_night,afternoon,30900,1,No info,14871,3,3
Air India,Delhi,Cochin,afternoon,evening,107700,2,No info,8708,3,21
Jet Airways,Kolkata,Banglore,evening,evening,80100,1,In-flight meal not included,10844,6,6
SpiceJet,Mumbai,Hyderabad,mid_night,morning,4800,0,No info,4129,3,6
IndiGo,Kolkata,Banglore,evening,mid_night,9600,0,No info,4804,5,18
Jet Airways,Banglore,Delhi,morning,morning,10800,0,No info,7229,5,6
Jet Airways,Banglore,New Delhi,morning,evening,43800,1,In-flight meal not included,7832,3,21
SpiceJet,Chennai,Kolkata,morning,afternoon,9300,0,No info,3859,3,18
Multiple carriers,Delhi,Cochin,morning,evening,42300,1,No info,9001,6,6
Vistara,Banglore,Delhi,afternoon,evening,9300,0,No info,4878,5,9
IndiGo,Mumbai,Hyderabad,mid_night,mid_night,5400,0,No info,2754,5,3
Vistara,Banglore,Delhi,morning,morning,9600,0,No info,4668,6,27
Air Asia,Kolkata,Banglore,morning,afternoon,9300,0,No info,5216,5,12
Jet Airways,Delhi,Cochin,mid_night,mid_night,82500,2,In-flight meal not included,10368,6,6
IndiGo,Delhi,Cochin,morning,evening,52800,2,No info,8146,3,9
Jet Airways,Delhi,Cochin,afternoon,mid_night,55500,1,No info,12242,3,27
Jet Airways,Banglore,New Delhi,morning,afternoon,26100,1,In-flight meal not included,9134,3,15
Air India,Delhi,Cochin,afternoon,morning,72600,2,No info,10939,6,6
Air India,Delhi,Cochin,morning,morning,74700,2,No info,11753,6,6
SpiceJet,Kolkata,Banglore,afternoon,evening,9000,0,No info,4174,4,24
Jet Airways,Kolkata,Banglore,evening,evening,85800,1,In-flight meal not included,10844,5,21
Jet Airways,Delhi,Cochin,afternoon,evening,97200,1,No info,14714,6,3
Jet Airways,Kolkata,Banglore,morning,afternoon,19800,1,In-flight meal not included,9899,6,12
IndiGo,Delhi,Cochin,morning,evening,42600,1,No info,14871,3,3
IndiGo,Chennai,Kolkata,afternoon,afternoon,8100,0,No info,7295,3,6
Air India,Delhi,Cochin,evening,evening,88200,2,No info,13465,6,6
SpiceJet,Chennai,Kolkata,afternoon,evening,8400,0,No check-in baggage included,3543,5,21
Multiple carriers,Delhi,Cochin,evening,mid_night,23400,1,No info,7198,6,27
Jet Airways,Delhi,Cochin,morning,mid_night,73500,1,In-flight meal not included,10262,6,1
IndiGo,Kolkata,Banglore,afternoon,afternoon,9300,0,No info,4148,3,15
Jet Airways,Banglore,Delhi,afternoon,evening,10500,0,No info,8016,6,27
Jet Airways,Delhi,Cochin,evening,mid_night,20100,1,In-flight meal not included,10262,6,9
SpiceJet,Kolkata,Banglore,afternoon,afternoon,9000,0,No check-in baggage included,3841,6,15
Jet Airways,Banglore,New Delhi,morning,mid_night,53100,1,No info,11507,3,12
Jet Airways,Kolkata,Banglore,morning,evening,44400,1,No info,14781,5,1
Jet Airways,Delhi,Cochin,afternoon,evening,91800,1,No info,16079,5,27
Jet Airways,Delhi,Cochin,evening,mid_night,20100,1,In-flight meal not included,12898,5,27
Multiple carriers,Delhi,Cochin,morning,evening,42300,1,No info,15353,3,6
IndiGo,Banglore,New Delhi,evening,evening,10500,0,No info,7303,3,24
SpiceJet,Kolkata,Banglore,afternoon,evening,20400,1,No info,6197,3,24
Air India,Kolkata,Banglore,morning,afternoon,14700,1,No info,8996,6,9
IndiGo,Delhi,Cochin,afternoon,evening,28800,1,No info,6528,3,21
GoAir,Banglore,Delhi,evening,evening,9900,0,No info,4239,4,9
IndiGo,Kolkata,Banglore,evening,evening,9600,0,No info,4148,3,12
SpiceJet,Banglore,Delhi,evening,mid_night,10500,0,No info,3971,5,24
Air Asia,Kolkata,Banglore,morning,evening,57300,1,No info,5192,5,6
Jet Airways,Delhi,Cochin,afternoon,afternoon,83400,2,No info,9483,4,9
Jet Airways,Delhi,Cochin,morning,evening,26400,2,No info,18804,6,3
Air India,Delhi,Cochin,mid_night,morning,10200,0,No info,5201,6,18
Jet Airways,Delhi,Cochin,morning,evening,27000,1,No info,16079,5,27
Jet Airways,Banglore,Delhi,evening,evening,10800,0,In-flight meal not included,7229,6,15
Multiple carriers,Delhi,Cochin,afternoon,mid_night,27900,1,No info,6795,5,27
Jet Airways,Kolkata,Banglore,morning,morning,91200,1,No info,10953,5,9
